"Save and Continue Edit","Save and Continue Edit"
"Edit Holiday '%1'","Edit Holiday '%1'"
"New Holiday","New Holiday"
General,General
Name,Name
Status,Status
"From Date","From Date"
"To Date","To Date"
ID,ID
"Created At","Created At"
"Updated At","Updated At"
Position,Position
Location,Location
"Item Information","Item Information"
"Edit Location '%1'","Edit Location '%1'"
"New Location","New Location"
Contact,Contact
"Phone #1","Phone #1"
"Phone #2","Phone #2"
Website,Website
Fax,Fax
Email,Email
Visibility,Visibility
Description,Description
"For internal use, this field is visible to admins.","For internal use, this field is visible to admins."
"URL Key","URL Key"
"Store Views","Store Views"
"Sort Order","Sort Order"
"The sort order of the location.","The sort order of the location."
"Is Default Location","Is Default Location"
Images,Images
"Address Information","Address Information"
Street,Street
City,City
State/Province,State/Province
"Zip/Postal Code","Zip/Postal Code"
Country,Country
"Get GPS coordinates","Get GPS coordinates"
"Review map","Review map"
Latitude,Latitude
Longitude,Longitude
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Add New Images","Add New Images"
"Open Hours","Open Hours"
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
Sunday,Sunday
Timezone,Timezone
Holiday,Holiday
Time,Time
Home,Home
"Go to Home Page","Go to Home Page"
"Find a store","Find a store"
"Store Image","Store Image"
"'Open now: ' . . '-' .","'Open now: ' . . '-' ."
"'Open at ' . . ' ' .","'Open at ' . . ' ' ."
"'Open at ' . .","'Open at ' . ."
"<span style=""color: red"">Closed</span>","<span style=""color: red"">Closed</span>"
"Find a stores","Find a stores"
"Do more of what you love. Discover inspiring programs happening every day at Apple.","Do more of what you love. Discover inspiring programs happening every day at Apple."
"This holiday no longer exists.","This holiday no longer exists."
"The Holiday has been deleted.","The Holiday has been deleted."
"Holiday to delete was not found.","Holiday to delete was not found."
"Manage General Holidays","Manage General Holidays"
"Manage Holiday","Manage Holiday"
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the Holiday.","Something went wrong while saving the Holiday."
"Holidays has been deleted.","Holidays has been deleted."
"Something wrong when deleting Holidays.","Something wrong when deleting Holidays."
"Something went wrong while updating status for %1.","Something went wrong while updating status for %1."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"The holiday has been saved.","The holiday has been saved."
"This location no longer exists.","This location no longer exists."
"The Location has been deleted.","The Location has been deleted."
"Location to delete was not found.","Location to delete was not found."
"Manage General Locations","Manage General Locations"
"Manage Store Locations","Manage Store Locations"
"Something went wrong while saving the Location.","Something went wrong while saving the Location."
"Locations has been deleted.","Locations has been deleted."
"Something wrong when deleting Locations.","Something wrong when deleting Locations."
"The location has been saved.","The location has been saved."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Unable to generate url key. Please check the setting and try again.","Unable to generate url key. Please check the setting and try again."
Mile,Mile
Km,Km
Default,Default
"Blue Essence","Blue Essence"
"Dark Grey","Dark Grey"
"Light Grey","Light Grey"
"Mid Night","Mid Night"
Custom,Custom
Close,Close
Open,Open
"Store Name","Store Name"
State/province,State/province
Toplink,Toplink
Footerlink,Footerlink
Category,Category
"-- Please Select --","-- Please Select --"
